================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  ARNOUL Ier.txt | 377 mots | 2257 car. | OK
  ARNOUL II.txt | 167 mots | 964 car. | OK
  ARNOUL III.txt | 147 mots | 848 car. | OK
  ARNOUL OU ARNULPHE DE GAND.txt | 1210 mots | 7181 car. | OK
  ARNOUL II (1).txt | 1027 mots | 6226 car. | OK
  ARNOUL III (1).txt | 444 mots | 2772 car. | OK
  ARNOUL IV.txt | 1427 mots | 8387 car. | OK
  ARNOUL V.txt | 3130 mots | 19061 car. | OK
  ARNOULD DE DERGHEYCK, dit ORYDRIUS.txt | 162 mots | 1023 car. | OK
  ARNOULD DE BINCHE.txt | 291 mots | 1761 car. | OK
  ARNOULD ou ARNOLT DE BRUCK.txt | 235 mots | 1511 car. | OK
  ARNOULD DE FLANDRES ou ARNAO DE FLANDES.txt | 110 mots | 688 car. | OK
  ARNOULD DE FLANDRE, ou le FLAMAND, en latin Arnoldus Flandrus.txt | 260 mots | 1644 car. | OK
  ARNOULD D'ISQUE, en latin ARNOLDUS AB YSSCHA.txt | 562 mots | 3590 car. | OK
  ARNOULD.txt | 104 mots | 635 car. | OK
  ARNOULT (Christophe D').txt | 242 mots | 1483 car. | OK
  ARNULPHE ou ARNOUL (Saint).txt | 514 mots | 3184 car. | OK
  ARNULPHE DE SAINT-GHISLAIN (Maître).txt | 84 mots | 564 car. | OK
  ARRIGO (Nicolas), dit FLAMINGO.txt | 74 mots | 453 car. | OK
  ARSCHOT (Arnulf comte D').txt | 1312 mots | 8096 car. | OK
  ARSENE, dit DE LIÉGE, camérier du pape Eugène IV.txt | 290 mots | 1817 car. | OK
  ARTEVELDE (Jacques D').txt | 2447 mots | 14996 car. | OK
  ARTEVELDE (Philippe D').txt | 1016 mots | 6026 car. | OK
  ARTHOIS (Ambroise D').txt | 128 mots | 762 car. | OK
  ARTOIS (Jacques VAN).txt | 483 mots | 2852 car. | OK
  ARTOT (Alexandre-Joseph).txt | 769 mots | 4470 car. | OK
  ASCELIN ou AZELIN DE TRONCHIENNES.txt | 167 mots | 993 car. | OK
  AS CLOQUETTES (Michel).txt | 679 mots | 4057 car. | OK
  ASPREMONT-LYNDEN (Ferdinand-Charles-Gobert, comte D').txt | 125 mots | 843 car. | OK
  ASPREMONT-LYNDEN (Ferdinand-Gobert, comte D').txt | 244 mots | 1575 car. | OK
  ASPREMONT-LYNDEN (Guillaume-Joseph-Hyacinthe-Gobert-Maurice, comte D').txt | 84 mots | 566 car. | OK
  ASPREMONT-LYNDEN (Herman D').txt | 121 mots | 783 car. | OK
